order_date,order_id,product,quantity,unit_price,sales_amount
2025-01-01,ORD00447,Product A,6,19.99,119.94
2025-01-02,ORD00264,Product A,5,149.99,749.95
2025-01-02,ORD00207,Product A,1,149.99,149.99
2025-01-02,ORD00064,Product A,8,149.99,1199.92
2025-01-04,ORD00497,Product B,3,19.99,59.97
2025-01-04,ORD00326,Product C,8,19.99,159.92
2025-01-05,ORD00129,Product A,7,29.99,209.92999999999998
2025-01-05,ORD00416,Product E,7,29.99,209.92999999999998
2025-01-06,ORD00335,Product B,2,29.99,59.98
2025-01-09,ORD00098,Product A,9,19.99,179.91
2025-01-09,ORD00270,Product B,1,19.99,19.99
2025-01-10,ORD00485,Product D,8,99.99,799.92
2025-01-13,ORD00152,Product E,2,19.99,39.98
2025-01-13,ORD00379,Product A,2,19.99,39.98
2025-01-14,ORD00051,Product A,8,49.99,399.92
2025-01-15,ORD00135,Product D,6,19.99,119.94
2025-01-15,ORD00093,Product D,6,99.99,599.9399999999999
2025-01-16,ORD00498,Product D,7,149.99,1049.93
2025-01-17,ORD00330,Product B,5,99.99,499.95
2025-01-18,ORD00353,Product A,7,149.99,1049.93
2025-01-20,ORD00384,Product A,5,149.99,749.95
2025-01-21,ORD00045,Product C,6,99.99,599.9399999999999
2025-01-21,ORD00007,Product B,3,29.99,89.97
2025-01-22,ORD00308,Product D,9,99.99,899.91
2025-01-22,ORD00026,Product B,7,99.99,699.93
2025-01-23,ORD00483,Product C,1,99.99,99.99
2025-01-26,ORD00376,Product B,3,29.99,89.97
2025-01-27,ORD00317,Product C,3,29.99,89.97
2025-01-28,ORD00165,Product D,2,19.99,39.98
2025-01-28,ORD00110,Product D,7,29.99,209.92999999999998
2025-01-29,ORD00150,Product D,3,19.99,59.97
2025-02-02,ORD00115,Product A,6,99.99,599.9399999999999
2025-02-02,ORD00306,Product B,9,99.99,899.91
2025-02-04,ORD00327,Product E,5,49.99,249.95000000000002
2025-02-04,ORD00059,Product D,5,19.99,99.94999999999999
2025-02-04,ORD00124,Product E,1,49.99,49.99
2025-02-05,ORD00151,Product D,2,19.99,39.98
2025-02-05,ORD00382,Product B,4,149.99,599.96
2025-02-06,ORD00338,Product E,7,149.99,1049.93
2025-02-06,ORD00268,Product B,2,19.99,39.98
2025-02-07,ORD00311,Product B,3,99.99,299.96999999999997
2025-02-08,ORD00373,Product D,1,19.99,19.99
2025-02-08,ORD00250,Product E,2,29.99,59.98
2025-02-08,ORD00477,Product E,3,19.99,59.97
2025-02-10,ORD00091,Product D,9,19.99,179.91
2025-02-10,ORD00109,Product B,2,99.99,199.98
2025-02-11,ORD00137,Product C,8,49.99,399.92
2025-02-13,ORD00167,Product E,7,149.99,1049.93
2025-02-13,ORD00071,Product D,4,49.99,199.96
2025-02-14,ORD00161,Product A,7,29.99,209.92999999999998
2025-02-15,ORD00334,Product E,9,49.99,449.91
2025-02-16,ORD00471,Product C,6,29.99,179.94
2025-02-16,ORD00422,Product E,5,49.99,249.95000000000002
2025-02-17,ORD00453,Product C,2,149.99,299.98
2025-02-17,ORD00116,Product E,8,99.99,799.92
2025-02-18,ORD00329,Product E,7,29.99,209.92999999999998
2025-02-18,ORD00030,Product C,1,49.99,49.99
2025-02-19,ORD00062,Product E,6,19.99,119.94
2025-02-20,ORD00314,Product E,3,19.99,59.97
2025-02-20,ORD00395,Product A,8,149.99,1199.92
2025-02-20,ORD00037,Product B,5,49.99,249.95000000000002
2025-02-21,ORD00198,Product B,7,99.99,699.93
2025-02-21,ORD00143,Product C,8,99.99,799.92
2025-02-22,ORD00413,Product A,8,19.99,159.92
2025-02-22,ORD00086,Product C,5,29.99,149.95
2025-02-22,ORD00216,Product B,5,149.99,749.95
2025-02-22,ORD00055,Product A,3,29.99,89.97
2025-02-23,ORD00356,Product A,7,29.99,209.92999999999998
2025-02-23,ORD00410,Product C,6,19.99,119.94
2025-02-23,ORD00210,Product E,2,49.99,99.98
2025-02-23,ORD00065,Product E,7,49.99,349.93
2025-02-23,ORD00278,Product C,1,99.99,99.99
2025-02-24,ORD00039,Product A,1,29.99,29.99
2025-02-27,ORD00357,Product B,1,49.99,49.99
2025-02-27,ORD00437,Product D,3,49.99,149.97
2025-02-27,ORD00445,Product A,3,149.99,449.97
2025-02-27,ORD00403,Product B,9,19.99,179.91
2025-02-28,ORD00031,Product A,4,19.99,79.96
2025-03-01,ORD00263,Product D,9,99.99,899.91
2025-03-01,ORD00414,Product A,2,49.99,99.98
2025-03-03,ORD00117,Product E,9,99.99,899.91
2025-03-03,ORD00162,Product A,7,29.99,209.92999999999998
2025-03-04,ORD00398,Product D,2,149.99,299.98
2025-03-04,ORD00102,Product B,9,49.99,449.91
2025-03-04,ORD00139,Product D,7,19.99,139.92999999999998
2025-03-06,ORD00095,Product E,3,99.99,299.96999999999997
2025-03-07,ORD00159,Product D,1,29.99,29.99
2025-03-09,ORD00299,Product C,2,49.99,99.98
2025-03-10,ORD00459,Product B,9,99.99,899.91
2025-03-10,ORD00470,Product C,2,99.99,199.98
2025-03-13,ORD00005,Product D,7,149.99,1049.93
2025-03-16,ORD00282,Product E,6,29.99,179.94
2025-03-17,ORD00463,Product B,9,49.99,449.91
2025-03-22,ORD00061,Product A,8,149.99,1199.92
2025-03-22,ORD00204,Product C,4,29.99,119.96
2025-03-22,ORD00104,Product E,9,99.99,899.91
2025-03-27,ORD00157,Product D,3,29.99,89.97
2025-03-27,ORD00466,Product E,8,29.99,239.92
2025-03-29,ORD00012,Product E,9,19.99,179.91
2025-03-30,ORD00454,Product C,9,49.99,449.91
2025-03-30,ORD00049,Product E,4,49.99,199.96
2025-04-02,ORD00057,Product A,4,149.99,599.96
2025-04-02,ORD00389,Product E,7,29.99,209.92999999999998
2025-04-02,ORD00436,Product E,9,99.99,899.91
2025-04-04,ORD00472,Product A,5,19.99,99.94999999999999
2025-04-05,ORD00343,Product D,7,99.99,699.93
2025-04-06,ORD00450,Product C,9,49.99,449.91
2025-04-06,ORD00144,Product C,3,19.99,59.97
2025-04-06,ORD00193,Product D,6,19.99,119.94
2025-04-06,ORD00494,Product E,7,19.99,139.92999999999998
2025-04-07,ORD00234,Product C,2,99.99,199.98
2025-04-07,ORD00321,Product D,9,149.99,1349.91
2025-04-08,ORD00230,Product C,3,29.99,89.97
2025-04-09,ORD00289,Product B,8,19.99,159.92
2025-04-09,ORD00272,Product C,5,99.99,499.95
2025-04-09,ORD00257,Product E,6,99.99,599.9399999999999
2025-04-09,ORD00344,Product B,5,149.99,749.95
2025-04-09,ORD00120,Product B,6,99.99,599.9399999999999
2025-04-09,ORD00336,Product D,9,19.99,179.91
2025-04-10,ORD00013,Product C,1,29.99,29.99
2025-04-10,ORD00478,Product C,3,29.99,89.97
2025-04-10,ORD00488,Product A,1,49.99,49.99
2025-04-11,ORD00411,Product E,7,19.99,139.92999999999998
2025-04-11,ORD00202,Product A,3,49.99,149.97
2025-04-11,ORD00126,Product E,2,19.99,39.98
2025-04-13,ORD00417,Product D,4,49.99,199.96
2025-04-13,ORD00001,Product B,9,29.99,269.90999999999997
2025-04-13,ORD00008,Product C,6,149.99,899.94
2025-04-14,ORD00369,Product C,4,19.99,79.96
2025-04-14,ORD00284,Product C,7,29.99,209.92999999999998
2025-04-16,ORD00066,Product A,8,99.99,799.92
2025-04-16,ORD00429,Product A,8,29.99,239.92
2025-04-17,ORD00004,Product C,8,149.99,1199.92
2025-04-18,ORD00166,Product E,1,49.99,49.99
2025-04-18,ORD00415,Product E,9,99.99,899.91
2025-04-22,ORD00288,Product B,5,19.99,99.94999999999999
2025-04-22,ORD00262,Product E,2,19.99,39.98
2025-04-23,ORD00203,Product D,3,99.99,299.96999999999997
2025-04-23,ORD00283,Product B,2,49.99,99.98
2025-04-23,ORD00196,Product B,2,29.99,59.98
2025-04-23,ORD00206,Product A,2,49.99,99.98
2025-04-23,ORD00201,Product E,5,149.99,749.95
2025-04-24,ORD00362,Product E,5,29.99,149.95
2025-04-26,ORD00178,Product A,8,49.99,399.92
2025-04-26,ORD00346,Product A,9,29.99,269.90999999999997
2025-04-26,ORD00281,Product E,3,49.99,149.97
2025-04-27,ORD00440,Product D,3,49.99,149.97
2025-04-28,ORD00452,Product E,5,149.99,749.95
2025-04-30,ORD00433,Product C,6,29.99,179.94
2025-04-30,ORD00279,Product A,7,99.99,699.93
2025-05-01,ORD00177,Product D,7,99.99,699.93
2025-05-02,ORD00009,Product D,1,49.99,49.99
2025-05-02,ORD00446,Product D,3,99.99,299.96999999999997
2025-05-03,ORD00225,Product E,1,99.99,99.99
2025-05-04,ORD00236,Product A,7,149.99,1049.93
2025-05-04,ORD00428,Product D,3,149.99,449.97
2025-05-05,ORD00400,Product A,9,19.99,179.91
2025-05-06,ORD00451,Product D,4,99.99,399.96
2025-05-06,ORD00214,Product C,4,49.99,199.96
2025-05-07,ORD00366,Product B,7,19.99,139.92999999999998
2025-05-07,ORD00443,Product A,1,149.99,149.99
2025-05-08,ORD00352,Product A,4,149.99,599.96
2025-05-08,ORD00305,Product A,1,19.99,19.99
2025-05-08,ORD00249,Product E,6,149.99,899.94
2025-05-08,ORD00171,Product C,8,19.99,159.92
2025-05-09,ORD00253,Product B,9,49.99,449.91
2025-05-09,ORD00100,Product E,9,149.99,1349.91
2025-05-09,ORD00444,Product D,8,49.99,399.92
2025-05-10,ORD00208,Product E,5,19.99,99.94999999999999
2025-05-10,ORD00215,Product E,5,149.99,749.95
2025-05-11,ORD00016,Product D,2,49.99,99.98
